id,city,city_tier,age_group,fd_amount_l,fd_count,days_left,last_login_days,n_signals,has_early_withdrawal,has_no_login,has_competitor_browse,has_safety_check,has_support_ticket,has_rate_compare,has_mf_browse,has_stocks_search,persona,outcome,risk_score,urgency
20,Mumbai,1,senior,8.04,1,7,2,3,0,0,0,1,1,1,0,0,Protector,Withdraw,40,45
21,Indore,2,senior,4.57,3,6,4,4,1,0,1,0,0,1,1,0,Exiter,Withdraw,61,58
22,Vadodara,2,mid,2.36,1,26,11,1,0,0,0,1,0,0,0,0,Protector,Renew,0,3
23,Nagpur,2,senior,0.86,1,21,45,1,0,1,0,0,0,0,0,0,Exiter,Withdraw,34,40
24,Chennai,1,young,2.51,2,26,8,3,1,0,0,1,0,1,0,0,Protector,Renew,41,41
25,Delhi,1,senior,1.87,1,22,6,0,0,0,0,0,0,0,0,0,Protector,Upgrade,0,4
26,Trivandrum,3,senior,1.9,1,14,1,3,1,0,0,1,0,0,1,0,Optimizer,Renew,33,37
27,Ahmedabad,1,mid,6.7,3,7,52,2,1,1,0,0,0,0,0,0,Exiter,Churn,75,74
28,Hyderabad,1,mid,7.73,5,21,10,1,0,0,0,1,0,0,0,0,Protector,Renew,5,6
29,Hyderabad,1,senior,1.81,1,6,8,4,1,0,1,1,0,0,1,0,Exiter,Churn,51,52
30,Bengaluru,1,mid,7.52,1,22,15,4,1,0,0,0,1,1,1,0,Optimizer,Upgrade,47,45
31,Bengaluru,1,mid,1.48,1,25,2,1,0,0,0,1,0,0,0,0,Protector,Renew,5,5
32,Hyderabad,1,young,4.84,1,23,10,4,0,0,1,0,1,0,1,1,Optimizer,Upgrade,21,22
33,Coimbatore,2,senior,3.19,2,13,3,3,0,0,0,1,0,1,1,0,Optimizer,Upgrade,22,19
34,Mumbai,1,senior,3.38,1,2,51,5,1,1,1,1,0,0,0,1,Exiter,Churn,97,98
35,Mumbai,1,senior,6.42,3,3,5,2,1,0,0,1,0,0,0,0,Exiter,Churn,52,52
36,Kolkata,1,mid,3.8,4,19,11,1,0,0,0,0,0,1,0,0,Protector,Upgrade,6,4
37,Coimbatore,2,mid,2.1,2,15,9,2,0,0,0,0,1,1,0,0,Anxious Saver,Withdraw,21,21
38,Pune,1,mid,7.94,4,12,25,4,0,1,1,1,0,0,1,0,Exiter,Churn,48,46
39,Bengaluru,1,senior,1.86,1,15,37,3,0,1,0,0,1,1,0,0,Exiter,Churn,47,46
40,Ahmedabad,1,mid,3.66,4,17,16,1,0,0,0,1,0,0,0,0,Protector,Renew,16,15
41,Kolkata,1,mid,1.62,3,19,2,2,1,0,0,1,0,0,0,0,Anxious Saver,Churn,35,33
42,Bengaluru,1,mid,4.21,2,1,50,5,1,1,1,1,0,1,0,0,Exiter,Withdraw,100,97
43,Delhi,1,mid,7.17,1,19,3,1,0,0,0,0,0,1,0,0,Optimizer,Upgrade,9,11
44,Nagpur,2,mid,2.63,1,14,10,2,0,0,0,1,0,0,1,0,Protector,Renew,6,3
45,Ahmedabad,1,mid,2.36,2,2,2,2,0,0,1,0,0,0,0,1,Exiter,Churn,31,28
46,Coimbatore,2,mid,1.19,2,2,15,4,1,0,1,1,0,0,1,0,Exiter,Churn,64,58
47,Indore,2,mid,1.66,1,12,5,3,0,0,0,1,1,0,1,0,Protector,Upgrade,18,21
48,Patna,3,mid,2.77,2,15,29,2,0,1,0,1,0,0,0,0,Exiter,Withdraw,36,27
49,Chandigarh,2,mid,4.61,2,3,8,1,0,0,0,1,0,0,0,0,Protector,Upgrade,16,18
50,Nagpur,2,senior,2.76,1,30,50,3,1,1,0,0,0,0,1,0,Exiter,Withdraw,45,46
51,Bhopal,3,young,1.44,1,27,2,2,0,0,1,1,0,0,0,0,Protector,Renew,19,14
52,Bengaluru,1,mid,4.66,1,3,6,1,0,0,0,1,0,0,0,0,Protector,Renew,16,13
53,Chennai,1,mid,4.22,4,11,10,3,1,0,0,1,0,0,1,0,Protector,Renew,31,29
54,Indore,2,mid,5.02,1,6,1,3,0,0,0,1,1,1,0,0,Protector,Renew,36,37
55,Bhopal,3,young,3.56,1,2,1,1,1,0,0,0,0,0,0,0,Exiter,Churn,46,46
56,Delhi,1,mid,5.89,2,22,9,2,0,0,1,1,0,0,0,0,Protector,Renew,20,22
57,Mumbai,1,young,7.11,1,9,25,3,1,0,0,1,1,0,0,0,Anxious Saver,Churn,54,49
58,Agra,3,mid,1.15,3,15,2,0,0,0,0,0,0,0,0,0,Protector,Renew,0,2
59,Mysuru,3,senior,1.5,1,7,13,3,1,0,0,1,0,1,0,0,Exiter,Churn,46,53
60,Chennai,1,mid,3.13,3,6,2,3,0,0,0,1,1,0,1,0,Anxious Saver,Withdraw,24,27
61,Chennai,1,senior,6.89,3,10,55,4,1,1,0,0,1,0,1,0,Exiter,Churn,67,67
62,Nagpur,2,mid,4.75,2,9,6,1,1,0,0,0,0,0,0,0,Exiter,Churn,34,28
63,Ahmedabad,1,young,1.7,1,15,36,0,0,0,0,0,0,0,0,0,Protector,Renew,10,13
64,Bhopal,3,mid,1.6,1,19,8,2,0,0,0,1,0,1,0,0,Protector,Renew,9,8
65,Pune,1,mid,15.73,1,17,5,1,0,0,0,0,0,0,1,0,Protector,Renew,0,0
66,Hyderabad,1,mid,10.49,2,22,32,2,1,1,0,0,0,0,0,0,Exiter,Withdraw,59,58
67,Chennai,1,mid,8.4,2,15,2,3,0,0,0,1,1,1,0,0,Anxious Saver,Renew,26,28
68,Agra,3,mid,0.88,1,18,9,1,0,0,0,1,0,0,0,0,Protector,Withdraw,9,8
69,Vadodara,2,mid,3.76,1,14,9,0,0,0,0,0,0,0,0,0,Protector,Renew,8,14
70,Jaipur,2,mid,5.23,1,11,1,1,0,0,0,1,0,0,0,0,Protector,Renew,17,18
71,Nagpur,2,mid,4.23,1,11,22,2,0,0,0,1,1,0,0,0,Anxious Saver,Withdraw,31,27
72,Patna,3,senior,1.68,1,24,1,2,0,0,0,1,1,0,0,0,Anxious Saver,Renew,12,13
73,Kolkata,1,senior,5.52,1,4,2,2,1,0,0,0,1,0,0,0,Exiter,Churn,57,60
74,Jaipur,2,mid,7.11,1,29,1,1,1,0,0,0,0,0,0,0,Exiter,Withdraw,22,24
75,Chandigarh,2,mid,0.98,1,7,7,2,1,0,1,0,0,0,0,0,Exiter,Withdraw,51,56
76,Ahmedabad,1,young,5.93,2,4,3,2,0,0,0,1,0,0,0,1,Protector,Withdraw,12,14
77,Chandigarh,2,young,4.37,3,21,23,3,0,0,0,1,0,1,0,1,Protector,Renew,13,15
78,Ahmedabad,1,senior,4.52,3,10,2,0,0,0,0,0,0,0,0,0,Protector,Renew,7,8
79,Mysuru,3,mid,0.61,2,1,1,4,0,0,1,1,0,1,0,1,Protector,Renew,47,47
80,Pune,1,young,1.11,2,29,12,3,1,0,0,1,0,1,0,0,Anxious Saver,Withdraw,35,37
81,Bengaluru,1,mid,12.83,1,5,2,2,0,0,0,1,0,1,0,0,Protector,Upgrade,32,31
82,Ahmedabad,1,young,3.92,1,10,1,3,0,0,0,1,0,0,1,1,Optimizer,Upgrade,2,3
83,Chandigarh,2,senior,4.92,1,10,1,1,0,0,0,1,0,0,0,0,Protector,Upgrade,13,16
84,Delhi,1,mid,13.2,1,12,26,5,0,0,1,1,0,1,1,1,Optimizer,Renew,31,32
85,Bengaluru,1,young,10.15,1,6,3,2,1,0,0,0,0,0,0,1,Exiter,Withdraw,38,35
86,Ahmedabad,1,young,3.41,2,16,5,2,0,0,0,1,0,1,0,0,Protector,Renew,14,16
87,Chennai,1,senior,3.94,3,21,7,3,0,0,0,1,1,1,0,0,Anxious Saver,Renew,26,22
88,Kolkata,1,mid,4.3,3,1,25,2,1,1,0,0,0,0,0,0,Exiter,Churn,68,69
89,Jaipur,2,mid,1.31,1,13,10,1,0,0,0,0,0,1,0,0,Protector,Renew,16,20
90,Vadodara,2,mid,1.27,1,6,6,3,1,0,1,0,0,0,1,0,Exiter,Churn,58,60
91,Nagpur,2,mid,2.67,1,22,11,1,0,0,0,1,0,0,0,0,Protector,Upgrade,10,7
92,Bengaluru,1,mid,9.27,2,15,4,3,1,0,0,1,0,0,1,0,Optimizer,Upgrade,26,25
93,Hyderabad,1,mid,6.34,2,5,3,3,0,0,1,0,0,0,1,1,Optimizer,Upgrade,21,23
94,Surat,3,mid,1.15,1,25,37,4,0,1,0,1,1,0,1,0,Exiter,Churn,37,35
95,Coimbatore,2,senior,4.32,1,24,1,1,0,0,0,0,0,1,0,0,Optimizer,Upgrade,2,6
96,Jaipur,2,mid,3.04,1,2,27,2,1,1,0,0,0,0,0,0,Exiter,Withdraw,68,65
97,Bengaluru,1,mid,4.82,1,21,1,0,0,0,0,0,0,0,0,0,Protector,Renew,6,0
98,Delhi,1,mid,2.14,1,12,7,0,0,0,0,0,0,0,0,0,Protector,Upgrade,5,6
99,Agra,3,young,1.24,3,28,36,1,0,0,0,0,0,1,0,0,Optimizer,Withdraw,17,18
100,Delhi,1,young,2.58,3,26,6,1,1,0,0,0,0,0,0,0,Exiter,Withdraw,21,19
101,Indore,2,senior,2.32,1,9,26,2,0,1,0,1,0,0,0,0,Exiter,Withdraw,36,37
102,Agra,3,young,0.98,1,3,17,3,0,0,0,1,1,1,0,0,Anxious Saver,Renew,53,58
103,Delhi,1,mid,9.6,2,3,10,3,1,0,0,1,0,1,0,0,Exiter,Withdraw,57,60
104,Kochi,2,mid,9.22,2,20,8,3,1,0,0,1,0,1,0,0,Protector,Withdraw,39,41
105,Lucknow,2,senior,4.17,1,3,6,2,1,0,0,0,0,1,0,0,Exiter,Churn,50,48
106,Bhopal,3,mid,1.84,1,19,1,0,0,0,0,0,0,0,0,0,Protector,Renew,0,5
107,Kochi,2,young,1.72,2,26,6,1,0,0,0,1,0,0,0,0,Protector,Upgrade,0,0
108,Pune,1,mid,7.61,1,10,17,3,1,0,0,1,0,1,0,0,Anxious Saver,Withdraw,45,39
109,Pune,1,senior,7.59,1,13,17,2,0,0,0,0,1,0,0,1,Anxious Saver,Withdraw,28,31
110,Bhopal,3,mid,4.89,1,9,8,2,0,0,0,1,0,1,0,0,Protector,Renew,15,15
111,Mumbai,1,mid,4.04,2,26,5,2,0,0,0,1,0,1,0,0,Protector,Renew,5,2
112,Lucknow,2,senior,0.74,1,11,2,1,0,0,0,0,0,0,1,0,Optimizer,Renew,0,3
113,Delhi,1,mid,9.62,2,2,7,2,0,0,0,1,1,0,0,0,Protector,Renew,32,27
114,Bengaluru,1,mid,2.36,1,26,26,1,1,0,0,0,0,0,0,0,Exiter,Churn,37,43
115,Vadodara,2,senior,0.91,1,19,60,3,1,0,0,1,0,0,1,0,Exiter,Withdraw,34,30
116,Nagpur,2,mid,1.31,2,8,17,2,1,0,0,1,0,0,0,0,Anxious Saver,Withdraw,42,38
117,Agra,3,mid,1.85,1,6,5,0,0,0,0,0,0,0,0,0,Protector,Renew,18,14
118,Chennai,1,mid,2.54,1,15,3,2,0,0,1,1,0,0,0,0,Protector,Withdraw,26,27
119,Chennai,1,young,7.35,2,5,11,2,1,0,0,0,0,0,1,0,Exiter,Churn,36,39
120,Indore,2,young,8.29,1,6,33,4,1,1,0,0,0,1,1,0,Exiter,Withdraw,72,65
121,Hyderabad,1,mid,4.61,1,25,6,0,0,0,0,0,0,0,0,0,Protector,Renew,1,0
122,Bengaluru,1,senior,13.16,3,11,8,3,1,0,1,1,0,0,0,0,Exiter,Withdraw,54,54
123,Jaipur,2,senior,4.49,4,19,10,1,0,0,0,1,0,0,0,0,Protector,Withdraw,5,1
124,Delhi,1,senior,9.28,2,10,1,2,1,0,0,0,0,1,0,0,Exiter,Withdraw,43,42
125,Coimbatore,2,mid,3.96,1,9,18,2,1,0,0,1,0,0,0,0,Anxious Saver,Withdraw,46,48
126,Mumbai,1,mid,3.09,1,22,17,1,0,0,1,0,0,0,0,0,Protector,Renew,22,20
127,Patna,3,mid,1.48,1,5,47,4,1,1,0,0,0,1,0,1,Exiter,Withdraw,73,72
128,Pune,1,mid,12.55,1,9,7,1,0,0,0,1,0,0,0,0,Protector,Renew,15,19
129,Bhopal,3,senior,0.92,5,8,18,1,0,0,0,1,0,0,0,0,Protector,Renew,14,10
130,Surat,3,mid,1.51,1,29,7,1,0,0,0,0,0,0,1,0,Optimizer,Upgrade,0,0
131,Kolkata,1,mid,5.4,2,24,32,2,0,0,0,1,0,0,1,0,Protector,Withdraw,8,9
132,Vadodara,2,young,2.71,2,4,1,3,1,0,0,1,0,0,0,1,Exiter,Churn,44,42
133,Coimbatore,2,young,2.06,2,13,9,1,1,0,0,0,0,0,0,0,Exiter,Churn,31,34
134,Pune,1,senior,1.16,4,26,58,5,0,1,0,1,1,1,1,0,Anxious Saver,Renew,48,44
135,Bhopal,3,senior,1.48,3,10,4,2,0,0,0,1,0,0,1,0,Protector,Upgrade,10,8
136,Varanasi,3,mid,2.99,2,21,1,3,0,0,1,1,0,1,0,0,Protector,Renew,35,37
137,Patna,3,mid,0.96,2,27,2,1,0,0,0,0,0,1,0,0,Optimizer,Upgrade,3,0
138,Kochi,2,mid,2.91,1,16,15,1,0,0,0,1,0,0,0,0,Protector,Renew,13,14
139,Chennai,1,senior,2.99,1,20,38,2,1,1,0,0,0,0,0,0,Exiter,Withdraw,52,55
140,Delhi,1,mid,5.7,2,6,7,3,0,0,1,1,0,0,1,0,Protector,Renew,34,32
141,Chandigarh,2,senior,4.04,2,16,5,2,0,0,0,1,0,1,0,0,Protector,Renew,7,4
142,Kolkata,1,mid,3.76,1,30,1,1,0,0,0,0,0,1,0,0,Protector,Renew,2,2
143,Surat,3,young,3.47,2,9,10,2,1,0,1,0,0,0,0,0,Exiter,Churn,47,52
144,Pune,1,young,2.85,2,21,8,1,1,0,0,0,0,0,0,0,Exiter,Withdraw,27,28
145,Hyderabad,1,mid,9.21,1,17,2,0,0,0,0,0,0,0,0,0,Protector,Upgrade,4,4
146,Ahmedabad,1,mid,5.45,5,28,1,2,0,0,0,0,1,1,0,0,Optimizer,Upgrade,26,25
147,Kochi,2,mid,3.43,3,27,5,1,0,0,0,1,0,0,0,0,Protector,Withdraw,6,4
148,Allahabad,3,mid,3.22,3,8,3,3,0,0,0,1,0,1,0,1,Protector,Renew,15,19
149,Chandigarh,2,mid,2.27,1,10,5,1,0,0,0,0,0,0,1,0,Optimizer,Renew,0,0
150,Nagpur,2,senior,3.78,2,17,16,1,0,0,0,1,0,0,0,0,Protector,Renew,6,7
151,Chandigarh,2,young,1.44,1,17,11,0,0,0,0,0,0,0,0,0,Protector,Renew,2,0
152,Bengaluru,1,mid,2.17,1,22,10,1,1,0,0,0,0,0,0,0,Protector,Renew,20,20
153,Kochi,2,young,1.57,2,7,9,1,1,0,0,0,0,0,0,0,Exiter,Withdraw,37,39
154,Vadodara,2,mid,5.11,3,9,1,2,0,0,0,1,1,0,0,0,Anxious Saver,Withdraw,22,24
155,Jaipur,2,senior,3.01,1,2,8,4,1,0,1,0,1,0,1,0,Exiter,Churn,67,66
156,Varanasi,3,senior,2.25,1,28,51,3,1,1,1,0,0,0,0,0,Exiter,Withdraw,70,65
157,Bengaluru,1,mid,1.83,3,10,3,3,0,0,1,1,0,1,0,0,Protector,Renew,45,45
158,Kolkata,1,senior,3.16,2,17,10,1,0,0,0,0,0,1,0,0,Protector,Upgrade,10,12
159,Bengaluru,1,young,2.28,1,1,32,2,1,1,0,0,0,0,0,0,Exiter,Churn,82,84
160,Indore,2,senior,3.82,3,12,2,2,0,0,0,0,0,1,1,0,Optimizer,Upgrade,5,7
161,Mumbai,1,senior,11.26,1,15,48,3,0,1,0,1,0,0,1,0,Exiter,Churn,34,38
162,Kochi,2,mid,1.09,1,18,4,1,0,0,0,0,1,0,0,0,Protector,Renew,6,8
163,Bengaluru,1,mid,1.9,2,22,5,3,0,0,0,1,0,1,1,0,Protector,Upgrade,9,12
164,Chandigarh,2,young,3.21,2,12,32,4,0,1,1,1,1,0,0,0,Exiter,Churn,75,75
165,Ahmedabad,1,senior,3.89,1,23,6,1,0,0,0,1,0,0,0,0,Protector,Renew,3,1
166,Kochi,2,mid,2.01,1,10,16,3,1,0,0,1,0,0,1,0,Anxious Saver,Churn,36,36
167,Lucknow,2,mid,3.31,1,30,4,2,0,0,0,1,0,1,0,0,Protector,Renew,8,8
168,Vadodara,2,senior,1.44,1,21,4,1,0,0,0,1,0,0,0,0,Protector,Withdraw,6,2
169,Lucknow,2,mid,1.28,2,25,19,0,0,0,0,0,0,0,0,0,Protector,Upgrade,8,7
170,Coimbatore,2,mid,4.18,1,20,13,2,0,0,0,0,0,1,1,0,Optimizer,Upgrade,2,0
171,Mysuru,3,young,1.02,1,27,38,1,0,1,0,0,0,0,0,0,Exiter,Churn,29,25
172,Chandigarh,2,mid,3.97,3,21,26,5,1,1,0,1,0,1,1,0,Exiter,Churn,63,61
173,Kolkata,1,senior,5.55,1,29,3,2,0,0,0,1,0,0,0,1,Protector,Renew,0,3
174,Chandigarh,2,young,7.45,1,6,10,2,0,0,0,1,0,0,1,0,Protector,Renew,7,5
175,Kolkata,1,senior,6.93,1,9,1,4,1,0,0,1,0,0,1,1,Optimizer,Upgrade,28,27
176,Patna,3,mid,3.41,2,23,4,3,0,0,0,1,0,1,1,0,Optimizer,Upgrade,7,1
177,Chennai,1,mid,1.9,1,5,39,5,1,1,1,1,0,1,0,0,Exiter,Withdraw,100,97
178,Lucknow,2,mid,2.31,3,2,53,4,0,1,0,1,1,1,0,0,Exiter,Churn,75,80
179,Hyderabad,1,mid,6.22,1,21,37,2,0,1,0,0,0,1,0,0,Exiter,Churn,33,35
180,Chennai,1,mid,7.21,1,5,29,2,0,0,0,1,0,0,1,0,Exiter,Churn,22,22
181,Chandigarh,2,young,4.12,1,16,7,1,1,0,0,0,0,0,0,0,Exiter,Churn,16,16
182,Indore,2,young,1.08,1,15,5,0,0,0,0,0,0,0,0,0,Protector,Renew,0,0
183,Varanasi,3,mid,1.45,1,23,7,1,0,0,0,1,0,0,0,0,Protector,Renew,9,10
184,Nagpur,2,mid,2.15,1,22,23,1,0,0,0,1,0,0,0,0,Protector,Renew,6,5
185,Bengaluru,1,mid,5.81,1,26,24,3,0,0,1,1,0,1,0,0,Exiter,Churn,38,37
186,Patna,3,mid,1.61,4,25,10,1,0,0,1,0,0,0,0,0,Protector,Renew,22,21
187,Nagpur,2,mid,3.93,4,16,50,4,1,1,0,1,0,1,0,0,Exiter,Churn,67,68
188,Jaipur,2,mid,2.29,1,2,3,4,1,0,1,1,0,0,1,0,Exiter,Churn,66,62
189,Varanasi,3,mid,1.35,1,30,37,4,0,1,1,0,1,0,0,1,Exiter,Withdraw,63,57
190,Kochi,2,mid,0.78,2,16,1,2,1,0,0,0,0,0,1,0,Optimizer,Renew,22,20
191,Delhi,1,young,3.22,2,17,23,4,0,0,1,1,0,1,1,0,Optimizer,Renew,35,33
192,Indore,2,young,2.28,5,26,13,1,0,0,0,1,0,0,0,0,Protector,Upgrade,10,8
193,Lucknow,2,young,2.59,2,5,10,2,0,0,0,1,1,0,0,0,Anxious Saver,Renew,30,27
194,Chandigarh,2,mid,1.75,2,14,21,2,0,0,0,0,0,1,1,0,Optimizer,Renew,12,16
195,Hyderabad,1,young,10.04,4,3,6,1,0,0,0,1,0,0,0,0,Protector,Renew,25,24
196,Chennai,1,mid,8.77,1,2,10,2,0,0,0,1,0,1,0,0,Protector,Renew,31,25
197,Kochi,2,senior,2.25,4,16,1,0,0,0,0,0,0,0,0,0,Protector,Renew,0,4
198,Chandigarh,2,young,1.02,5,8,4,1,0,0,0,0,0,1,0,0,Optimizer,Renew,10,13
199,Chandigarh,2,mid,2.26,1,22,2,1,0,0,0,0,0,0,0,1,Protector,Withdraw,3,2
200,Agra,3,young,2.77,2,21,6,1,0,0,1,0,0,0,0,0,Protector,Renew,13,11
201,Coimbatore,2,mid,2.82,2,9,55,3,1,1,0,1,0,0,0,0,Exiter,Churn,66,65
202,Ahmedabad,1,mid,1.11,1,2,2,2,0,0,0,1,0,1,0,0,Protector,Renew,33,34
203,Ahmedabad,1,senior,2.93,1,15,31,2,0,1,0,1,0,0,0,0,Exiter,Churn,40,32
204,Mumbai,1,mid,1.54,3,7,32,3,0,1,0,0,1,1,0,0,Exiter,Churn,64,60
205,Mumbai,1,mid,0.57,1,23,3,3,1,0,1,1,0,0,0,0,Protector,Withdraw,56,48
206,Chennai,1,mid,11.39,2,17,10,3,1,0,0,1,0,1,0,0,Protector,Renew,33,38
207,Ahmedabad,1,mid,4.78,2,16,4,4,1,0,0,1,0,1,0,1,Optimizer,Renew,37,40
208,Surat,3,mid,0.93,2,1,15,2,1,0,1,0,0,0,0,0,Exiter,Churn,74,67
209,Pune,1,mid,2.25,1,12,10,1,0,0,0,1,0,0,0,0,Protector,Renew,18,16
210,Hyderabad,1,young,2.19,3,19,8,1,0,0,0,1,0,0,0,0,Protector,Renew,0,0
211,Mumbai,1,mid,8.87,1,14,47,4,1,1,0,1,1,0,0,0,Exiter,Churn,77,80
212,Kochi,2,mid,3.59,1,10,8,2,1,0,0,1,0,0,0,0,Protector,Renew,34,29
213,Nagpur,2,young,5.98,3,4,1,1,1,0,0,0,0,0,0,0,Exiter,Churn,43,37
214,Bhopal,3,young,0.96,2,22,10,1,0,0,0,0,0,1,0,0,Protector,Renew,2,3
215,Ahmedabad,1,mid,16.7,2,19,30,1,0,1,0,0,0,0,0,0,Exiter,Withdraw,22,24
216,Delhi,1,mid,2.91,2,17,4,1,0,0,0,0,1,0,0,0,Anxious Saver,Withdraw,13,13
217,Bengaluru,1,senior,10.2,3,8,8,1,0,0,0,0,0,0,1,0,Protector,Renew,0,1
218,Kochi,2,mid,4.83,2,27,10,1,0,0,0,0,0,1,0,0,Protector,Renew,8,8
219,Kochi,2,mid,4.88,1,30,1,4,0,0,1,1,0,1,1,0,Optimizer,Upgrade,23,26
220,Jaipur,2,mid,2.46,1,22,4,3,1,0,0,1,0,1,0,0,Protector,Renew,32,30
221,Mumbai,1,senior,6.19,1,6,11,3,0,0,0,1,0,1,0,1,Protector,Renew,26,28
222,Chennai,1,mid,2.5,1,22,5,2,0,0,0,1,0,0,1,0,Protector,Renew,0,0
223,Patna,3,young,1.0,1,12,31,3,0,1,1,0,1,0,0,0,Exiter,Churn,74,74
224,Varanasi,3,mid,3.79,2,26,20,3,0,0,0,0,1,0,1,1,Optimizer,Withdraw,12,10
225,Bengaluru,1,senior,4.45,3,10,40,1,0,1,0,0,0,0,0,0,Exiter,Withdraw,37,33
226,Chandigarh,2,young,7.72,1,19,2,3,0,0,1,1,0,0,0,1,Protector,Renew,19,19
227,Vadodara,2,mid,1.32,1,9,21,0,0,0,0,0,0,0,0,0,Exiter,Churn,14,15
228,Chandigarh,2,mid,2.57,4,16,18,3,0,0,0,1,0,0,1,1,Optimizer,Upgrade,3,1
229,Hyderabad,1,mid,3.04,4,2,40,4,1,1,0,1,1,0,0,0,Exiter,Churn,92,88
230,Bhopal,3,young,2.02,1,27,21,1,0,0,0,1,0,0,0,0,Protector,Renew,13,12
231,Lucknow,2,senior,1.94,1,23,5,1,0,0,0,0,0,0,1,0,Protector,Renew,0,0
232,Chandigarh,2,mid,11.0,1,14,6,1,0,0,0,1,0,0,0,0,Protector,Renew,10,8
233,Mumbai,1,young,8.66,2,20,6,0,0,0,0,0,0,0,0,0,Protector,Renew,1,0
234,Jaipur,2,mid,1.9,1,21,9,3,1,0,0,1,0,1,0,0,Protector,Renew,39,41
235,Pune,1,senior,5.59,2,14,10,2,0,0,1,0,0,0,1,0,Optimizer,Upgrade,20,17
236,Chennai,1,mid,6.66,1,12,5,3,0,0,0,1,0,0,1,1,Protector,Renew,0,0
237,Coimbatore,2,young,0.77,4,26,5,5,1,0,1,1,0,1,1,0,Optimizer,Renew,49,48
238,Varanasi,3,mid,1.26,5,25,39,5,1,1,1,0,1,1,0,0,Exiter,Churn,92,91
239,Kolkata,1,young,13.55,1,19,2,3,0,0,0,1,0,1,0,1,Protector,Renew,13,10
240,Vadodara,2,senior,2.74,2,18,12,2,0,0,1,0,0,0,1,0,Protector,Renew,11,8
241,Hyderabad,1,senior,7.55,1,16,5,1,1,0,0,0,0,0,0,0,Exiter,Withdraw,29,30
242,Chennai,1,young,6.01,1,16,5,2,1,0,0,0,0,1,0,0,Exiter,Churn,35,31
243,Mysuru,3,senior,1.06,1,10,17,1,1,0,0,0,0,0,0,0,Anxious Saver,Renew,31,35
244,Pune,1,mid,1.52,1,12,9,2,1,0,0,0,1,0,0,0,Anxious Saver,Withdraw,37,38
245,Trivandrum,3,young,1.66,3,16,6,0,0,0,0,0,0,0,0,0,Protector,Upgrade,5,2
246,Jaipur,2,mid,2.63,3,26,3,2,0,0,1,0,0,1,0,0,Protector,Renew,23,21
247,Kolkata,1,senior,1.74,3,10,1,3,1,0,0,1,1,0,0,0,Anxious Saver,Renew,48,42
248,Jaipur,2,young,2.15,2,30,21,1,0,0,0,1,0,0,0,0,Protector,Withdraw,11,7
249,Chennai,1,mid,4.78,1,3,4,3,0,0,1,1,1,0,0,0,Protector,Withdraw,52,54
250,Kochi,2,senior,7.99,3,27,5,1,0,0,0,0,0,1,0,0,Protector,Renew,8,3
251,Indore,2,mid,5.81,1,17,31,2,0,1,0,1,0,0,0,0,Exiter,Churn,34,37
252,Delhi,1,mid,4.57,2,17,17,1,0,0,0,0,0,1,0,0,Optimizer,Upgrade,6,4
